ranking,palabra,frecuencia_absoluta,frecuencia_normalizada
256,mis,43564,285.55
257,modo,43478,284.99
258,problemas,43295,283.79
259,cinco,43283,283.71
260,carlos,42834,280.77
261,hombres,42544,278.87
262,información,42423,278.07
263,ojos,42371,277.73
264,muerte,42341,277.53
265,nombre,42284,277.16
266,algunas,42223,276.76
267,público,42201,276.62
268,mujeres,42094,275.92
269,siglo,41890,274.58
270,todavía,41792,273.94
271,meses,41650,273.01
272,mañana,41368,271.16
273,esos,41184,269.95
274,nosotros,40870,267.89
275,hora,40581,266
276,muchas,40566,265.9
277,pueblo,40425,264.98
278,alguna,40406,264.85
279,dar,40396,264.79
280,problema,40295,264.12
281,don,40224,263.66
282,da,40191,263.44
283,tú,40119,262.97
284,derecho,39939,261.79
285,verdad,39924,261.69
286,maría,39812,260.96
287,unidos,39806,260.92
288,podría,39797,260.86
289,sería,39731,260.43
290,junto,39521,259.05
291,cabeza,39451,258.59
292,aquel,39377,258.11
293,luis,39370,258.06
294,cuanto,38519,252.48
295,tierra,38352,251.39
296,equipo,38214,250.48
297,segundo,38160,250.13
298,director,38096,249.71
299,dicho,38074,249.57
300,cierto,37979,248.94
301,casos,37796,247.74
302,manos,37736,247.35
303,nivel,37419,245.27
304,podía,37403,245.17
305,familia,37376,244.99
306,largo,37315,244.59
307,partir,37278,244.35
308,falta,37196,243.81
309,llegar,37054,242.88
310,propio,36979,242.39
311,ministro,36337,238.18
312,cosa,36267,237.72
313,primero,36232,237.49
314,seguridad,36054,236.32
315,hemos,35988,235.89
316,mal,35964,235.73
317,trata,35744,234.29
318,algún,35564,233.11
319,tuvo,35490,232.63
320,respecto,35394,232
321,semana,35354,231.74
322,varios,35315,231.48
323,real,35222,230.87
324,sé,35154,230.42
325,voz,34982,229.3
326,paso,34921,228.9
327,señor,34905,228.79
328,mil,34834,228.33
329,quienes,34743,227.73
330,proyecto,34716,227.55
331,mercado,34677,227.3
332,mayoría,34634,227.02
333,luz,34617,226.9
334,claro,34589,226.72
335,iba,34380,225.35
336,éste,34338,225.08
337,pesetas,34204,224.2
338,orden,33982,222.74
339,español,33920,222.34
340,buena,33759,221.28
341,quiere,33735,221.12
342,aquella,33723,221.04
343,programa,33620,220.37
344,palabras,33485,219.48
345,internacional,33448,219.24
346,van,33398,218.91
347,esas,33382,218.81
348,segunda,33363,218.69
349,empresa,33301,218.28
350,puesto,33254,217.97
351,ahí,33248,217.93
352,propia,33149,217.28
353,m,33099,216.95
354,libro,33056,216.67
355,igual,32950,215.98
356,político,32928,215.83
357,persona,32756,214.71
358,últimos,32689,214.27
359,ellas,32635,213.91
360,total,32539,213.28
361,creo,32504,213.05
362,tengo,32413,212.46
363,dios,32373,212.2
364,c,32345,212.01
365,española,32140,210.67
366,condiciones,32094,210.37
367,méxico,32084,210.3
368,fuerza,32082,210.29
369,solo,32010,209.82
370,único,31999,209.74
371,acción,31789,208.37
372,amor,31690,207.72
373,policía,31598,207.12
374,puerta,31503,206.49
375,pesar,31436,206.05
376,zona,31365,205.59
377,sabe,31358,205.54
378,calle,31330,205.36
379,interior,31198,204.49
380,tampoco,31014,203.29
381,música,30968,202.99
382,ningún,30962,202.95
383,vista,30952,202.88
384,campo,30775,201.72
385,buen,30756,201.6
386,hubiera,30754,201.58
387,saber,30644,200.86
388,obras,30575,200.41
389,razón,30539,200.17
390,ex,30522,200.06
391,niños,30449,199.58
392,presencia,30426,199.43
393,tema,30398,199.25
394,dinero,30386,199.17
395,comisión,30350,198.94
396,antonio,30339,198.86
397,servicio,30318,198.73
398,hijo,30298,198.59
399,última,30269,198.4
400,ciento,30146,197.6
401,estoy,30136,197.53
402,hablar,30127,197.47
403,dio,30123,197.45
404,minutos,30012,196.72
405,producción,29875,195.82
406,camino,29830,195.53
407,seis,29812,195.41
408,quién,29760,195.07
409,fondo,29750,195
410,dirección,29708,194.73
411,papel,29702,194.69
412,demás,29623,194.17
413,barcelona,29613,194.1
414,idea,29613,194.1
415,especial,29458,193.09
416,diferentes,29378,192.56
417,dado,29292,192
418,base,29243,191.68
419,capital,29220,191.53
420,ambos,29178,191.25
421,europa,29171,191.21
422,libertad,29119,190.87
423,relaciones,29055,190.45
424,espacio,28844,189.06
425,medios,28828,188.96
426,ir,28757,188.49
427,actual,28719,188.24
428,población,28668,187.91
429,empresas,28653,187.81
430,estudio,28640,187.73
431,salud,28630,187.66
432,servicios,28547,187.12
433,haya,28528,186.99
434,principio,28476,186.65
435,siendo,28468,186.6
436,cultura,28382,186.04
437,anterior,28310,185.56
438,alto,28306,185.54
439,media,28292,185.45
440,mediante,28252,185.18
441,primeros,28193,184.8
442,arte,28165,184.61
443,paz,28159,184.57
444,sector,28156,184.55
445,imagen,28109,184.25
446,medida,28101,184.19
447,deben,28008,183.58
448,datos,28003,183.55
449,consejo,27968,183.32
450,personal,27930,183.07
451,interés,27919,183
452,julio,27919,183
453,grupos,27863,182.63
454,miembros,27843,182.5
455,ninguna,27822,182.36
456,existe,27779,182.08
457,cara,27756,181.93
458,edad,27731,181.77
459,etc,27709,181.62
460,movimiento,27696,181.54
461,visto,27677,181.41
462,llegó,27556,180.62
463,puntos,27488,180.18
464,actividad,27283,178.83
465,bueno,27256,178.65
466,uso,27235,178.52
467,niño,27157,178.01
